2021-11-25/10:56:44		 AQI_38.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_39.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_40.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_41.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_42.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_47.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_50.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_51.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_52.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_53.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_54.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_55.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_66.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_67.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_80.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_86.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_94.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_95.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_97.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_98.csv: File Transformed successfully!!
2021-11-25/10:56:45		 AQI_99.csv: File Transformed successfully!!
2021-11-25/10:58:51		 AQI_08.csv: File Transformed successfully!!
2021-11-25/10:58:51		 AQI_09.csv: File Transformed successfully!!
2021-11-25/10:58:51		 AQI_10.csv: File Transformed successfully!!
2021-11-25/10:58:51		 AQI_11.csv: File Transformed successfully!!
2021-11-25/10:58:51		 AQI_12.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_14.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_15.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_26.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_27.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_35.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_36.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_38.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_39.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_40.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_41.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_42.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_47.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_50.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_51.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_52.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_53.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_54.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_55.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_66.csv: File Transformed successfully!!
2021-11-25/10:58:52		 AQI_67.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_80.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_86.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_94.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_95.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_97.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_98.csv: File Transformed successfully!!
2021-11-25/10:58:53		 AQI_99.csv: File Transformed successfully!!
2021-11-25/12:07:48		 AQI_08.csv: File Transformed successfully!!
2021-11-25/12:07:48		 AQI_09.csv: File Transformed successfully!!
2021-11-25/12:07:48		 AQI_10.csv: File Transformed successfully!!
2021-11-25/12:07:48		 AQI_11.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_12.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_14.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_15.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_26.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_27.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_35.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_36.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_38.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_39.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_40.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_41.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_42.csv: File Transformed successfully!!
2021-11-25/12:07:49		 AQI_47.csv: File Transformed successfully!!
